Component,Quantity,Model,Lowest Price (unit),Subtotal,Link
LED,2,VLMR233T2V2-GS08,0.51,1.02,https://www.digikey.tw/en/products/detail/vishay-semiconductor-opto-division/VLMR233T2V2-GS08/3025490
Button,2,TL1240NQ1JBLK,0.98,1.96,https://www.digikey.tw/en/products/detail/e-switch/TL1240NQ1JBLK/1805479
Servo Motor,18,MG996R,4.2,75.60,https://tw.shp.ee/tT3prQu
10uF Capacitor,7,0805W106K250CC,0.04,0.28,https://tw.shp.ee/vY3ZYgh
10k Resistor,5,CR0805-JW-103ELF,0.10,0.50,https://www.digikey.tw/en/products/detail/bourns-inc/CR0805-JW-103ELF/3593155
500 Resistor,2,CR0805-FX-4990ELF,0.10,0.20,https://www.digikey.tw/en/products/detail/bourns-inc/CR0805-FX-4990ELF/3784987?s=N4IgjCBcpgnAHLKoDGUBmBDANgZwKYA0IA9lANogAMIAugL7EBMV8ArMiGpFnkaRRAAWWLAAEAeQAWAW1x1iABwAuUEAFUAdgEtlE9AFl8mXAFcATvhCMQAWiGduvAsTKRKAZjZgPTEMQ8RJj8GenogA
NRF Board,1,NRF24L01_Breakout,1.00,1.00,https://tw.shp.ee/tFocrzP
Schottky Resistor,3,MBR1045S,1.07,3.21,https://www.digikey.tw/en/products/detail/smc-diode-solutions/MBR1045S/5993230?s=N4IgTCBcDaILICEBKBGADAFgKwGUQF0BfIA
Buck Converter,3,RT8289GSP,4.11,12.33,https://www.digikey.tw/en/products/detail/richtek-usa-inc/RT8289GSP/2546068?s=N4IgTCBcDaIEoBUAcYkE4QF0C%2BQ
47uF Capacitor,6,6TAB47M,1.66,9.96,https://www.digikey.tw/en/products/detail/panasonic-electronic-components/6TAB47M/4833040?s=N4IgjCBcpgnAHLKoDGUBmBDANgZwKYA0IA9lANogAMIAugL7EBMVALEtCGpFnkaRRCsA7AAIArQDE6xAA4AXKCACqAOwCW8gPLoAsvky4ArgCd8IRiBbCOqDDgLEykSgDYAdAGZRANRkgFJTVNHX1DU3N6SyZBAAUtAGUAYQBBWLp6IA
38k Resistor,3,CR0805-FX-3832ELF,0.10,0.30,https://www.digikey.tw/en/products/detail/bourns-inc/CR0805-FX-3832ELF/3784908
Developement Board,1,NUCLEO-F446RE,14.85,14.85,https://www.digikey.tw/en/products/detail/stmicroelectronics/NUCLEO-F446RE/5347712
10uH Inductor,3,EXL1V0505-100-R,0.69,2.07,https://www.digikey.tw/en/products/detail/eaton-electronics-division/EXL1V0505-100-R/13912336
XT60 Connector,1,XT60-F,1.57,1.57,https://tw.shp.ee/Gx2Y8iE
0.1uF Capacitor,3,0603B104K250SD,1.70,5.10,https://tw.shp.ee/weARm6H
Accelerometer,1,BNO055,38.46,38.46,https://tw.shp.ee/19Ezxnb
Female Headers,2,PPPC192LFBN-RC,2.05,4.1,https://www.digikey.tw/en/products/detail/sullins-connector-solutions/PPPC192LFBN-RC/810258
Male Headers,18,TS-103-G-A,1.27,22.86,https://www.digikey.tw/en/products/detail/samtec-inc/TS-103-G-A/1105459
PCB Board,1,,101.71,JLCPCB Order,
Total,,,,270.12,
